image_path pid camid material
.\MVB_train\Image\0009_p_4.jpg 0009 p_4 hard
.\MVB_train\Image\0010_g_1.jpg 0010 g_1 hard
.\MVB_train\Image\0010_g_2.jpg 0010 g_2 hard
.\MVB_train\Image\0010_g_3.jpg 0010 g_3 hard
.\MVB_train\Image\0010_p_4.jpg 0010 p_4 hard
.\MVB_train\Image\0011_g_1.jpg 0011 g_1 soft
.\MVB_train\Image\0011_g_2.jpg 0011 g_2 soft
.\MVB_train\Image\0011_g_3.jpg 0011 g_3 soft
.\MVB_train\Image\0011_p_1.jpg 0011 p_1 soft
.\MVB_train\Image\0011_p_2.jpg 0011 p_2 soft
.\MVB_train\Image\0011_p_3.jpg 0011 p_3 soft
.\MVB_train\Image\0012_g_1.jpg 0012 g_1 hard
.\MVB_train\Image\0012_g_2.jpg 0012 g_2 hard
.\MVB_train\Image\0012_g_3.jpg 0012 g_3 hard
.\MVB_train\Image\0012_p_3.jpg 0012 p_3 hard
.\MVB_train\Image\0012_p_4.jpg 0012 p_4 hard
.\MVB_train\Image\0013_g_1.jpg 0013 g_1 hard
.\MVB_train\Image\0013_g_2.jpg 0013 g_2 hard
.\MVB_train\Image\0013_g_3.jpg 0013 g_3 hard
.\MVB_train\Image\0013_p_1.jpg 0013 p_1 hard
.\MVB_train\Image\0013_p_2.jpg 0013 p_2 hard
.\MVB_train\Image\0013_p_3.jpg 0013 p_3 hard
.\MVB_train\Image\0014_g_1.jpg 0014 g_1 hard
.\MVB_train\Image\0014_g_2.jpg 0014 g_2 hard
.\MVB_train\Image\0014_g_3.jpg 0014 g_3 hard
.\MVB_train\Image\0014_p_3.jpg 0014 p_3 hard
.\MVB_train\Image\0014_p_4.jpg 0014 p_4 hard
.\MVB_train\Image\0015_g_1.jpg 0015 g_1 hard
.\MVB_train\Image\0015_g_2.jpg 0015 g_2 hard
.\MVB_train\Image\0015_g_3.jpg 0015 g_3 hard
.\MVB_train\Image\0015_p_3.jpg 0015 p_3 hard
.\MVB_train\Image\0015_p_4.jpg 0015 p_4 hard
.\MVB_train\Image\0016_g_1.jpg 0016 g_1 others
.\MVB_train\Image\0016_g_2.jpg 0016 g_2 others
.\MVB_train\Image\0016_g_3.jpg 0016 g_3 others
.\MVB_train\Image\0016_p_1.jpg 0016 p_1 others
.\MVB_train\Image\0016_p_2.jpg 0016 p_2 others
.\MVB_train\Image\0016_p_3.jpg 0016 p_3 others
.\MVB_train\Image\0016_p_4.jpg 0016 p_4 others
.\MVB_train\Image\0017_g_1.jpg 0017 g_1 soft
.\MVB_train\Image\0017_g_2.jpg 0017 g_2 soft
.\MVB_train\Image\0017_g_3.jpg 0017 g_3 soft
.\MVB_train\Image\0017_p_3.jpg 0017 p_3 soft
.\MVB_train\Image\0017_p_4.jpg 0017 p_4 soft
.\MVB_train\Image\0018_g_1.jpg 0018 g_1 hard
.\MVB_train\Image\0018_g_2.jpg 0018 g_2 hard
.\MVB_train\Image\0018_g_3.jpg 0018 g_3 hard
.\MVB_train\Image\0018_p_1.jpg 0018 p_1 hard
.\MVB_train\Image\0019_g_1.jpg 0019 g_1 hard
.\MVB_train\Image\0019_g_2.jpg 0019 g_2 hard
.\MVB_train\Image\0019_g_3.jpg 0019 g_3 hard
.\MVB_train\Image\0019_p_3.jpg 0019 p_3 hard
.\MVB_train\Image\0020_g_1.jpg 0020 g_1 hard
.\MVB_train\Image\0020_g_2.jpg 0020 g_2 hard
.\MVB_train\Image\0020_g_3.jpg 0020 g_3 hard
.\MVB_train\Image\0020_p_3.jpg 0020 p_3 hard
.\MVB_train\Image\0020_p_4.jpg 0020 p_4 hard
.\MVB_train\Image\0021_g_1.jpg 0021 g_1 soft
.\MVB_train\Image\0021_g_2.jpg 0021 g_2 soft
.\MVB_train\Image\0021_g_3.jpg 0021 g_3 soft
.\MVB_train\Image\0021_p_3.jpg 0021 p_3 soft
.\MVB_train\Image\0021_p_4.jpg 0021 p_4 soft
.\MVB_train\Image\0022_g_1.jpg 0022 g_1 hard
.\MVB_train\Image\0022_g_2.jpg 0022 g_2 hard
.\MVB_train\Image\0022_g_3.jpg 0022 g_3 hard
.\MVB_train\Image\0022_p_1.jpg 0022 p_1 hard
.\MVB_train\Image\0022_p_2.jpg 0022 p_2 hard
.\MVB_train\Image\0023_g_1.jpg 0023 g_1 hard
.\MVB_train\Image\0023_g_2.jpg 0023 g_2 hard
.\MVB_train\Image\0023_g_3.jpg 0023 g_3 hard
.\MVB_train\Image\0023_p_1.jpg 0023 p_1 hard
.\MVB_train\Image\0023_p_2.jpg 0023 p_2 hard
.\MVB_train\Image\0024_g_1.jpg 0024 g_1 hard
.\MVB_train\Image\0024_g_2.jpg 0024 g_2 hard
.\MVB_train\Image\0024_g_3.jpg 0024 g_3 hard
.\MVB_train\Image\0024_p_3.jpg 0024 p_3 hard
.\MVB_train\Image\0024_p_4.jpg 0024 p_4 hard
.\MVB_train\Image\0025_g_2.jpg 0025 g_2 hard
.\MVB_train\Image\0025_g_3.jpg 0025 g_3 hard
.\MVB_train\Image\0025_p_3.jpg 0025 p_3 hard
.\MVB_train\Image\0025_p_4.jpg 0025 p_4 hard
.\MVB_train\Image\0026_g_1.jpg 0026 g_1 hard
.\MVB_train\Image\0026_g_2.jpg 0026 g_2 hard
.\MVB_train\Image\0026_g_3.jpg 0026 g_3 hard
.\MVB_train\Image\0026_p_3.jpg 0026 p_3 hard
.\MVB_train\Image\0026_p_4.jpg 0026 p_4 hard
.\MVB_train\Image\0027_g_1.jpg 0027 g_1 hard
.\MVB_train\Image\0027_g_2.jpg 0027 g_2 hard
.\MVB_train\Image\0027_g_3.jpg 0027 g_3 hard
.\MVB_train\Image\0027_p_3.jpg 0027 p_3 hard
.\MVB_train\Image\0027_p_4.jpg 0027 p_4 hard
.\MVB_train\Image\0028_g_1.jpg 0028 g_1 hard
.\MVB_train\Image\0028_g_3.jpg 0028 g_3 hard
.\MVB_train\Image\0028_p_3.jpg 0028 p_3 hard
.\MVB_train\Image\0028_p_4.jpg 0028 p_4 hard
.\MVB_train\Image\0029_g_1.jpg 0029 g_1 hard
.\MVB_train\Image\0029_g_2.jpg 0029 g_2 hard
.\MVB_train\Image\0029_g_3.jpg 0029 g_3 hard
.\MVB_train\Image\0029_p_1.jpg 0029 p_1 hard
.\MVB_train\Image\0029_p_2.jpg 0029 p_2 hard
.\MVB_train\Image\0029_p_3.jpg 0029 p_3 hard
.\MVB_train\Image\0029_p_4.jpg 0029 p_4 hard
.\MVB_train\Image\0030_g_1.jpg 0030 g_1 hard
.\MVB_train\Image\0030_g_2.jpg 0030 g_2 hard
.\MVB_train\Image\0030_g_3.jpg 0030 g_3 hard
.\MVB_train\Image\0030_p_1.jpg 0030 p_1 hard
.\MVB_train\Image\0030_p_3.jpg 0030 p_3 hard
.\MVB_train\Image\0030_p_4.jpg 0030 p_4 hard
.\MVB_train\Image\0031_g_1.jpg 0031 g_1 hard
.\MVB_train\Image\0031_g_2.jpg 0031 g_2 hard
.\MVB_train\Image\0031_g_3.jpg 0031 g_3 hard
.\MVB_train\Image\0031_p_3.jpg 0031 p_3 hard
.\MVB_train\Image\0031_p_4.jpg 0031 p_4 hard
.\MVB_train\Image\0032_g_1.jpg 0032 g_1 hard
.\MVB_train\Image\0032_g_2.jpg 0032 g_2 hard
.\MVB_train\Image\0032_g_3.jpg 0032 g_3 hard
.\MVB_train\Image\0032_p_3.jpg 0032 p_3 hard
.\MVB_train\Image\0032_p_4.jpg 0032 p_4 hard
.\MVB_train\Image\0033_g_1.jpg 0033 g_1 hard
.\MVB_train\Image\0033_g_2.jpg 0033 g_2 hard
.\MVB_train\Image\0033_g_3.jpg 0033 g_3 hard
.\MVB_train\Image\0033_p_1.jpg 0033 p_1 hard
.\MVB_train\Image\0033_p_2.jpg 0033 p_2 hard
.\MVB_train\Image\0033_p_3.jpg 0033 p_3 hard
.\MVB_train\Image\0033_p_4.jpg 0033 p_4 hard
.\MVB_train\Image\0034_g_1.jpg 0034 g_1 others
.\MVB_train\Image\0034_g_2.jpg 0034 g_2 others
.\MVB_train\Image\0034_g_3.jpg 0034 g_3 others
.\MVB_train\Image\0034_p_1.jpg 0034 p_1 others
.\MVB_train\Image\0034_p_2.jpg 0034 p_2 others
.\MVB_train\Image\0035_g_1.jpg 0035 g_1 hard
.\MVB_train\Image\0035_g_2.jpg 0035 g_2 hard
.\MVB_train\Image\0035_g_3.jpg 0035 g_3 hard
.\MVB_train\Image\0035_p_3.jpg 0035 p_3 hard
.\MVB_train\Image\0036_g_1.jpg 0036 g_1 hard
.\MVB_train\Image\0036_g_2.jpg 0036 g_2 hard
.\MVB_train\Image\0036_g_3.jpg 0036 g_3 hard
.\MVB_train\Image\0036_p_3.jpg 0036 p_3 hard
.\MVB_train\Image\0036_p_4.jpg 0036 p_4 hard
.\MVB_train\Image\0037_g_1.jpg 0037 g_1 hard
.\MVB_train\Image\0037_g_2.jpg 0037 g_2 hard
.\MVB_train\Image\0037_g_3.jpg 0037 g_3 hard
.\MVB_train\Image\0037_p_1.jpg 0037 p_1 hard
.\MVB_train\Image\0037_p_2.jpg 0037 p_2 hard
.\MVB_train\Image\0038_g_1.jpg 0038 g_1 hard
.\MVB_train\Image\0038_g_2.jpg 0038 g_2 hard
.\MVB_train\Image\0038_p_3.jpg 0038 p_3 hard
.\MVB_train\Image\0038_p_4.jpg 0038 p_4 hard
.\MVB_train\Image\0039_g_1.jpg 0039 g_1 soft
.\MVB_train\Image\0039_g_2.jpg 0039 g_2 soft
.\MVB_train\Image\0039_g_3.jpg 0039 g_3 soft
.\MVB_train\Image\0039_p_4.jpg 0039 p_4 soft
.\MVB_train\Image\0040_g_1.jpg 0040 g_1 others
.\MVB_train\Image\0040_g_3.jpg 0040 g_3 others
.\MVB_train\Image\0040_p_4.jpg 0040 p_4 others
.\MVB_train\Image\0041_g_1.jpg 0041 g_1 soft
.\MVB_train\Image\0041_g_2.jpg 0041 g_2 soft
.\MVB_train\Image\0041_g_3.jpg 0041 g_3 soft
.\MVB_train\Image\0041_p_3.jpg 0041 p_3 soft
.\MVB_train\Image\0041_p_4.jpg 0041 p_4 soft
.\MVB_train\Image\0042_g_1.jpg 0042 g_1 others
.\MVB_train\Image\0042_g_2.jpg 0042 g_2 others
.\MVB_train\Image\0042_g_3.jpg 0042 g_3 others
.\MVB_train\Image\0042_p_3.jpg 0042 p_3 others
.\MVB_train\Image\0042_p_4.jpg 0042 p_4 others
.\MVB_train\Image\0043_g_1.jpg 0043 g_1 paperboard
.\MVB_train\Image\0043_g_2.jpg 0043 g_2 paperboard
.\MVB_train\Image\0043_g_3.jpg 0043 g_3 paperboard
.\MVB_train\Image\0043_p_3.jpg 0043 p_3 paperboard
.\MVB_train\Image\0043_p_4.jpg 0043 p_4 paperboard
.\MVB_train\Image\0044_g_2.jpg 0044 g_2 hard
.\MVB_train\Image\0044_g_3.jpg 0044 g_3 hard
.\MVB_train\Image\0044_p_1.jpg 0044 p_1 hard
.\MVB_train\Image\0044_p_2.jpg 0044 p_2 hard
.\MVB_train\Image\0044_p_3.jpg 0044 p_3 hard
.\MVB_train\Image\0044_p_4.jpg 0044 p_4 hard
.\MVB_train\Image\0045_g_1.jpg 0045 g_1 hard
.\MVB_train\Image\0045_g_2.jpg 0045 g_2 hard
.\MVB_train\Image\0045_g_3.jpg 0045 g_3 hard
.\MVB_train\Image\0045_p_3.jpg 0045 p_3 hard
.\MVB_train\Image\0045_p_4.jpg 0045 p_4 hard
.\MVB_train\Image\0046_g_1.jpg 0046 g_1 hard
.\MVB_train\Image\0046_g_2.jpg 0046 g_2 hard
.\MVB_train\Image\0046_g_3.jpg 0046 g_3 hard
.\MVB_train\Image\0046_p_3.jpg 0046 p_3 hard
.\MVB_train\Image\0046_p_4.jpg 0046 p_4 hard
.\MVB_train\Image\0047_g_1.jpg 0047 g_1 soft
.\MVB_train\Image\0047_g_2.jpg 0047 g_2 soft
.\MVB_train\Image\0047_g_3.jpg 0047 g_3 soft
.\MVB_train\Image\0047_p_3.jpg 0047 p_3 soft
.\MVB_train\Image\0047_p_4.jpg 0047 p_4 soft
.\MVB_train\Image\0048_g_1.jpg 0048 g_1 hard
.\MVB_train\Image\0048_g_2.jpg 0048 g_2 hard
.\MVB_train\Image\0048_g_3.jpg 0048 g_3 hard
.\MVB_train\Image\0048_p_4.jpg 0048 p_4 hard
.\MVB_train\Image\0049_g_1.jpg 0049 g_1 hard
.\MVB_train\Image\0049_g_2.jpg 0049 g_2 hard
.\MVB_train\Image\0049_g_3.jpg 0049 g_3 hard
.\MVB_train\Image\0049_p_1.jpg 0049 p_1 hard
.\MVB_train\Image\0049_p_2.jpg 0049 p_2 hard
.\MVB_train\Image\0050_g_1.jpg 0050 g_1 hard
.\MVB_train\Image\0050_g_2.jpg 0050 g_2 hard
.\MVB_train\Image\0050_g_3.jpg 0050 g_3 hard
.\MVB_train\Image\0050_p_3.jpg 0050 p_3 hard
.\MVB_train\Image\0050_p_4.jpg 0050 p_4 hard
.\MVB_train\Image\0051_g_1.jpg 0051 g_1 hard
.\MVB_train\Image\0051_g_2.jpg 0051 g_2 hard
.\MVB_train\Image\0051_g_3.jpg 0051 g_3 hard
.\MVB_train\Image\0051_p_3.jpg 0051 p_3 hard
.\MVB_train\Image\0051_p_4.jpg 0051 p_4 hard
.\MVB_train\Image\0052_g_1.jpg 0052 g_1 soft
.\MVB_train\Image\0052_g_2.jpg 0052 g_2 soft
.\MVB_train\Image\0052_g_3.jpg 0052 g_3 soft
.\MVB_train\Image\0052_p_3.jpg 0052 p_3 soft
.\MVB_train\Image\0052_p_4.jpg 0052 p_4 soft
.\MVB_train\Image\0053_g_1.jpg 0053 g_1 soft
.\MVB_train\Image\0053_g_2.jpg 0053 g_2 soft
.\MVB_train\Image\0053_p_1.jpg 0053 p_1 soft
.\MVB_train\Image\0053_p_2.jpg 0053 p_2 soft
.\MVB_train\Image\0054_g_1.jpg 0054 g_1 hard
.\MVB_train\Image\0054_g_2.jpg 0054 g_2 hard
.\MVB_train\Image\0054_g_3.jpg 0054 g_3 hard
.\MVB_train\Image\0054_p_3.jpg 0054 p_3 hard
.\MVB_train\Image\0054_p_4.jpg 0054 p_4 hard
.\MVB_train\Image\0055_g_1.jpg 0055 g_1 soft
.\MVB_train\Image\0055_g_2.jpg 0055 g_2 soft
.\MVB_train\Image\0055_g_3.jpg 0055 g_3 soft
.\MVB_train\Image\0055_p_1.jpg 0055 p_1 soft
.\MVB_train\Image\0055_p_2.jpg 0055 p_2 soft
.\MVB_train\Image\0056_g_1.jpg 0056 g_1 soft
.\MVB_train\Image\0056_g_2.jpg 0056 g_2 soft
.\MVB_train\Image\0056_g_3.jpg 0056 g_3 soft
.\MVB_train\Image\0056_p_1.jpg 0056 p_1 soft
.\MVB_train\Image\0056_p_2.jpg 0056 p_2 soft
.\MVB_train\Image\0057_g_1.jpg 0057 g_1 soft
.\MVB_train\Image\0057_g_2.jpg 0057 g_2 soft
.\MVB_train\Image\0057_g_3.jpg 0057 g_3 soft
.\MVB_train\Image\0057_p_3.jpg 0057 p_3 soft
.\MVB_train\Image\0058_g_1.jpg 0058 g_1 others
.\MVB_train\Image\0058_g_2.jpg 0058 g_2 others
.\MVB_train\Image\0058_g_3.jpg 0058 g_3 others
.\MVB_train\Image\0058_p_1.jpg 0058 p_1 others
.\MVB_train\Image\0058_p_3.jpg 0058 p_3 others
.\MVB_train\Image\0058_p_4.jpg 0058 p_4 others
.\MVB_train\Image\0059_g_1.jpg 0059 g_1 hard
.\MVB_train\Image\0059_g_2.jpg 0059 g_2 hard
.\MVB_train\Image\0059_g_3.jpg 0059 g_3 hard
.\MVB_train\Image\0059_p_1.jpg 0059 p_1 hard
.\MVB_train\Image\0059_p_2.jpg 0059 p_2 hard
.\MVB_train\Image\0059_p_3.jpg 0059 p_3 hard
.\MVB_train\Image\0060_g_1.jpg 0060 g_1 soft
.\MVB_train\Image\0060_g_2.jpg 0060 g_2 soft
.\MVB_train\Image\0060_g_3.jpg 0060 g_3 soft
.\MVB_train\Image\0060_p_1.jpg 0060 p_1 soft
.\MVB_train\Image\0061_g_1.jpg 0061 g_1 hard
.\MVB_train\Image\0061_g_2.jpg 0061 g_2 hard
.\MVB_train\Image\0061_g_3.jpg 0061 g_3 hard
.\MVB_train\Image\0061_p_2.jpg 0061 p_2 hard
.\MVB_train\Image\0061_p_3.jpg 0061 p_3 hard
.\MVB_train\Image\0061_p_4.jpg 0061 p_4 hard
.\MVB_train\Image\0062_g_1.jpg 0062 g_1 hard
.\MVB_train\Image\0062_g_2.jpg 0062 g_2 hard
.\MVB_train\Image\0062_g_3.jpg 0062 g_3 hard
.\MVB_train\Image\0062_p_1.jpg 0062 p_1 hard
.\MVB_train\Image\0062_p_2.jpg 0062 p_2 hard
.\MVB_train\Image\0062_p_3.jpg 0062 p_3 hard
.\MVB_train\Image\0063_g_1.jpg 0063 g_1 hard
.\MVB_train\Image\0063_g_2.jpg 0063 g_2 hard
.\MVB_train\Image\0063_g_3.jpg 0063 g_3 hard
.\MVB_train\Image\0063_p_3.jpg 0063 p_3 hard
.\MVB_train\Image\0064_g_1.jpg 0064 g_1 hard
.\MVB_train\Image\0064_g_2.jpg 0064 g_2 hard
.\MVB_train\Image\0064_g_3.jpg 0064 g_3 hard
.\MVB_train\Image\0064_p_1.jpg 0064 p_1 hard
.\MVB_train\Image\0065_g_1.jpg 0065 g_1 soft
.\MVB_train\Image\0065_g_2.jpg 0065 g_2 soft
.\MVB_train\Image\0065_g_3.jpg 0065 g_3 soft
.\MVB_train\Image\0065_p_3.jpg 0065 p_3 soft
.\MVB_train\Image\0065_p_4.jpg 0065 p_4 soft
.\MVB_train\Image\0066_g_1.jpg 0066 g_1 paperboard
.\MVB_train\Image\0066_g_2.jpg 0066 g_2 paperboard
.\MVB_train\Image\0066_g_3.jpg 0066 g_3 paperboard
.\MVB_train\Image\0066_p_3.jpg 0066 p_3 paperboard
.\MVB_train\Image\0066_p_4.jpg 0066 p_4 paperboard
.\MVB_train\Image\0067_g_1.jpg 0067 g_1 soft
.\MVB_train\Image\0067_g_2.jpg 0067 g_2 soft
.\MVB_train\Image\0067_g_3.jpg 0067 g_3 soft
.\MVB_train\Image\0067_p_2.jpg 0067 p_2 soft
.\MVB_train\Image\0067_p_3.jpg 0067 p_3 soft
.\MVB_train\Image\0067_p_4.jpg 0067 p_4 soft
.\MVB_train\Image\0068_g_1.jpg 0068 g_1 soft
.\MVB_train\Image\0068_g_2.jpg 0068 g_2 soft
.\MVB_train\Image\0068_g_3.jpg 0068 g_3 soft
.\MVB_train\Image\0068_p_3.jpg 0068 p_3 soft
.\MVB_train\Image\0068_p_4.jpg 0068 p_4 soft
.\MVB_train\Image\0069_g_1.jpg 0069 g_1 hard
.\MVB_train\Image\0069_g_2.jpg 0069 g_2 hard
.\MVB_train\Image\0069_g_3.jpg 0069 g_3 hard
.\MVB_train\Image\0069_p_1.jpg 0069 p_1 hard
.\MVB_train\Image\0069_p_3.jpg 0069 p_3 hard
.\MVB_train\Image\0069_p_4.jpg 0069 p_4 hard
.\MVB_train\Image\0070_g_1.jpg 0070 g_1 soft
.\MVB_train\Image\0070_g_2.jpg 0070 g_2 soft
.\MVB_train\Image\0070_g_3.jpg 0070 g_3 soft
.\MVB_train\Image\0070_p_4.jpg 0070 p_4 soft
.\MVB_train\Image\0071_g_1.jpg 0071 g_1 hard
.\MVB_train\Image\0071_g_2.jpg 0071 g_2 hard
.\MVB_train\Image\0071_g_3.jpg 0071 g_3 hard
.\MVB_train\Image\0071_p_3.jpg 0071 p_3 hard
.\MVB_train\Image\0071_p_4.jpg 0071 p_4 hard
.\MVB_train\Image\0072_g_1.jpg 0072 g_1 hard
.\MVB_train\Image\0072_g_2.jpg 0072 g_2 hard
.\MVB_train\Image\0072_g_3.jpg 0072 g_3 hard
.\MVB_train\Image\0072_p_3.jpg 0072 p_3 hard
.\MVB_train\Image\0072_p_4.jpg 0072 p_4 hard
.\MVB_train\Image\0073_g_1.jpg 0073 g_1 others
.\MVB_train\Image\0073_p_3.jpg 0073 p_3 others
.\MVB_train\Image\0073_p_4.jpg 0073 p_4 others
.\MVB_train\Image\0074_g_1.jpg 0074 g_1 soft
.\MVB_train\Image\0074_g_2.jpg 0074 g_2 soft
.\MVB_train\Image\0074_g_3.jpg 0074 g_3 soft
.\MVB_train\Image\0074_p_3.jpg 0074 p_3 soft
.\MVB_train\Image\0074_p_4.jpg 0074 p_4 soft
.\MVB_train\Image\0075_g_1.jpg 0075 g_1 paperboard
.\MVB_train\Image\0075_g_2.jpg 0075 g_2 paperboard
.\MVB_train\Image\0075_g_3.jpg 0075 g_3 paperboard
.\MVB_train\Image\0075_p_4.jpg 0075 p_4 paperboard
.\MVB_train\Image\0076_g_1.jpg 0076 g_1 others
.\MVB_train\Image\0076_g_2.jpg 0076 g_2 others
.\MVB_train\Image\0076_g_3.jpg 0076 g_3 others
.\MVB_train\Image\0076_p_3.jpg 0076 p_3 others
.\MVB_train\Image\0076_p_4.jpg 0076 p_4 others
.\MVB_train\Image\0077_g_1.jpg 0077 g_1 hard
.\MVB_train\Image\0077_g_2.jpg 0077 g_2 hard
.\MVB_train\Image\0077_g_3.jpg 0077 g_3 hard
.\MVB_train\Image\0077_p_1.jpg 0077 p_1 hard
.\MVB_train\Image\0077_p_3.jpg 0077 p_3 hard
.\MVB_train\Image\0078_g_1.jpg 0078 g_1 hard
.\MVB_train\Image\0078_g_2.jpg 0078 g_2 hard
.\MVB_train\Image\0078_g_3.jpg 0078 g_3 hard
.\MVB_train\Image\0078_p_3.jpg 0078 p_3 hard
.\MVB_train\Image\0079_g_1.jpg 0079 g_1 hard
.\MVB_train\Image\0079_g_2.jpg 0079 g_2 hard
.\MVB_train\Image\0079_g_3.jpg 0079 g_3 hard
.\MVB_train\Image\0079_p_3.jpg 0079 p_3 hard
.\MVB_train\Image\0079_p_4.jpg 0079 p_4 hard
.\MVB_train\Image\0080_g_1.jpg 0080 g_1 hard
.\MVB_train\Image\0080_g_2.jpg 0080 g_2 hard
.\MVB_train\Image\0080_g_3.jpg 0080 g_3 hard
.\MVB_train\Image\0080_p_3.jpg 0080 p_3 hard
.\MVB_train\Image\0080_p_4.jpg 0080 p_4 hard
.\MVB_train\Image\0081_g_1.jpg 0081 g_1 hard
.\MVB_train\Image\0081_g_2.jpg 0081 g_2 hard
.\MVB_train\Image\0081_g_3.jpg 0081 g_3 hard
.\MVB_train\Image\0081_p_3.jpg 0081 p_3 hard
.\MVB_train\Image\0081_p_4.jpg 0081 p_4 hard
.\MVB_train\Image\0082_g_1.jpg 0082 g_1 hard
.\MVB_train\Image\0082_g_2.jpg 0082 g_2 hard
.\MVB_train\Image\0082_g_3.jpg 0082 g_3 hard
.\MVB_train\Image\0082_p_1.jpg 0082 p_1 hard
.\MVB_train\Image\0082_p_2.jpg 0082 p_2 hard
.\MVB_train\Image\0083_g_1.jpg 0083 g_1 soft
.\MVB_train\Image\0083_g_2.jpg 0083 g_2 soft
.\MVB_train\Image\0083_p_3.jpg 0083 p_3 soft
.\MVB_train\Image\0083_p_4.jpg 0083 p_4 soft
.\MVB_train\Image\0084_g_1.jpg 0084 g_1 paperboard
.\MVB_train\Image\0084_g_2.jpg 0084 g_2 paperboard
.\MVB_train\Image\0084_g_3.jpg 0084 g_3 paperboard
.\MVB_train\Image\0084_p_3.jpg 0084 p_3 paperboard
.\MVB_train\Image\0084_p_4.jpg 0084 p_4 paperboard
.\MVB_train\Image\0085_g_1.jpg 0085 g_1 paperboard
.\MVB_train\Image\0085_g_2.jpg 0085 g_2 paperboard
.\MVB_train\Image\0085_g_3.jpg 0085 g_3 paperboard
.\MVB_train\Image\0085_p_3.jpg 0085 p_3 paperboard
.\MVB_train\Image\0086_g_1.jpg 0086 g_1 soft
.\MVB_train\Image\0086_g_2.jpg 0086 g_2 soft
.\MVB_train\Image\0086_g_3.jpg 0086 g_3 soft
.\MVB_train\Image\0086_p_3.jpg 0086 p_3 soft
.\MVB_train\Image\0087_g_1.jpg 0087 g_1 hard
.\MVB_train\Image\0087_g_2.jpg 0087 g_2 hard
.\MVB_train\Image\0087_g_3.jpg 0087 g_3 hard
.\MVB_train\Image\0087_p_2.jpg 0087 p_2 hard
.\MVB_train\Image\0087_p_3.jpg 0087 p_3 hard
.\MVB_train\Image\0087_p_4.jpg 0087 p_4 hard
.\MVB_train\Image\0088_g_1.jpg 0088 g_1 hard
.\MVB_train\Image\0088_g_2.jpg 0088 g_2 hard
.\MVB_train\Image\0088_g_3.jpg 0088 g_3 hard
.\MVB_train\Image\0088_p_3.jpg 0088 p_3 hard
.\MVB_train\Image\0088_p_4.jpg 0088 p_4 hard
